Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.30.1.43-172.30.1.45-22-59984-6,172.30.1.45,59984,172.30.1.43,22,6,04/08/2024 05:37:54 AM,221267,24,26,30425.0,40.0,1448.0,0.0,1267.708333333333,487.2748960036442,40.0,0.0,1.5384615384615383,7.844645405527363,137684.3361188067,225.971337795514,4515.653061224492,14950.542049190924,95117.0,0.0,182591.0,7938.739130434782,20311.209473896182,95121.0,3.0,221267.0,8850.680000000002,21568.26737887554,95125.0,3.0,0,0,0,0,768,656,108.46624214184672,117.5050956536673,0.0,1448.0,597.3529411764704,718.8089544108202,516686.3129411766,0,1,0,0,0,0,0,0,1.0,609.3,1267.7083333333333,1.5384615384615383,0,0,0,0,0,0,24,30425,26,40,-1,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-47870-6,172.30.1.45,47870,172.30.1.43,22,6,04/08/2024 05:38:01 AM,423775,16,15,18841.0,40.0,1448.0,0.0,1177.5624999999998,581.4342002038293,40.0,0.0,2.6666666666666665,10.327955589886445,44554.30358090968,73.15202642911922,14125.833333333332,41157.8766811688,179959.0,1.0,243800.0,16253.333333333332,37049.285855208494,137809.0,2.0,423775.0,30269.64285714285,57105.47057669444,180083.0,10.0,0,0,0,0,512,436,37.75588460857767,35.39614182054156,0.0,1448.0,590.03125,721.0803044346367,519956.8054435484,0,1,0,0,0,0,0,0,0.0,609.0645161290323,1177.5625,2.6666666666666665,0,0,0,0,0,0,16,18841,15,40,-1,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-37932-6,172.30.1.45,37932,172.30.1.43,22,6,04/08/2024 05:26:04 AM,268071,16,19,18841.0,40.0,1448.0,0.0,1177.5625000000002,581.4342002038293,40.0,0.0,2.1052631578947367,9.17662935482247,70432.83309272543,130.56242562604683,7884.441176470588,20532.55006405192,93435.0,4.0,174622.0,11641.466666666664,22115.04401619168,65840.0,117.0,268071.0,14892.833333333332,29694.885886194574,109246.0,10.0,0,0,0,0,512,528,59.685680286192834,70.876745339854,0.0,1448.0,524.4722222222224,704.2012896531833,495899.4563492065,0,1,0,0,0,0,0,0,1.0,539.4571428571429,1177.5625,2.1052631578947367,0,0,0,0,0,0,16,18841,19,40,-1,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-50722-6,172.30.1.45,50722,172.30.1.43,22,6,04/08/2024 05:30:41 AM,263081,17,20,20289.0,40.0,1448.0,0.0,1193.470588235294,566.779290999488,40.0,0.0,2.0,8.94427190999916,77272.77910605479,140.64109532805486,7307.805555555553,24432.42967371668,115226.0,2.0,147846.0,9240.375000000002,25438.713148467243,100032.0,86.0,263081.0,13846.368421052632,32733.930726406343,115718.0,7.0,0,0,0,0,544,584,64.61888163721439,76.02221369084046,0.0,1448.0,534.9736842105262,706.7295245780978,499466.62091038405,0,1,0,0,0,0,0,0,1.0,549.4324324324324,1193.470588235294,2.0,0,0,0,0,0,0,17,20289,20,40,-1,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-50112-6,172.30.1.45,50112,172.30.1.43,22,6,04/08/2024 05:32:40 AM,224446,17,17,20289.0,40.0,1448.0,0.0,1193.470588235294,566.779290999488,40.0,0.0,2.3529411764705883,9.70142500145332,90574.12473378897,151.48409862505903,6801.393939393938,20911.254659482107,101093.0,2.0,173715.0,10857.1875,27162.137856996826,101109.0,12.0,224446.0,14027.875,30017.92705895373,101121.0,7.0,0,0,0,0,544,452,75.74204931252952,75.74204931252952,0.0,1448.0,580.8285714285713,718.4149417790727,516120.0285714285,0,1,0,0,0,0,0,0,1.0,597.9117647058823,1193.470588235294,2.3529411764705883,0,0,0,0,0,0,17,20289,17,40,-1,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-37514-6,172.30.1.45,37514,172.30.1.43,22,6,04/08/2024 05:24:14 AM,310308,16,19,18841.0,40.0,1448.0,0.0,1177.5625000000002,581.4342002038293,40.0,0.0,2.1052631578947367,9.17662935482247,60845.99816956057,112.79116232904084,9126.70588235294,19410.027908945027,60878.0,1.0,258847.0,17256.466666666667,29639.633588603392,94854.0,7.0,310308.0,17239.333333333332,28106.12124033608,85567.0,3.0,0,0,0,0,512,528,51.56167420756152,61.22948812147931,0.0,1448.0,524.4722222222224,704.2012896531833,495899.4563492065,0,1,0,0,0,0,0,0,1.0,539.4571428571429,1177.5625,2.1052631578947367,0,0,0,0,0,0,16,18841,19,40,-1,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-44562-6,172.30.1.45,44562,172.30.1.43,22,6,04/08/2024 05:42:15 AM,299159,16,19,18841.0,40.0,1448.0,0.0,1177.5625000000002,581.4342002038293,40.0,0.0,2.1052631578947367,9.17662935482247,63113.5951116296,116.99464164541264,8798.794117647058,27526.96167427372,133067.0,2.0,166039.0,11069.266666666666,25418.5421141639,91430.0,846.0,299159.0,16619.944444444438,39292.35044767129,146508.0,8.0,0,0,0,0,512,528,53.48326475218863,63.511376893224,0.0,1448.0,524.4722222222224,704.2012896531833,495899.4563492065,0,1,0,0,0,0,0,0,1.0,539.4571428571429,1177.5625,2.1052631578947367,0,0,0,0,0,0,16,18841,19,40,-1,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-43664-6,172.30.1.45,43664,172.30.1.43,22,6,04/08/2024 05:42:12 AM,17390978,47,49,57954.0,80.0,1448.0,0.0,1233.0638297872345,519.3590700693256,40.0,0.0,1.6326530612244905,7.996597916069842,3337.017619135623,5.520103584743768,183062.9263157895,1721973.1578388915,16788766.0,0.0,17270883.0,375453.9782608695,2473925.896364692,16788770.0,3.0,17390978.0,362312.0416666666,2421611.604463713,16788774.0,3.0,0,0,0,0,1512,1292,2.702550713364136,2.817552871379631,0.0,1448.0,598.2886597938146,715.5334105692714,511988.0616408935,0,1,0,0,0,0,0,0,1.0,604.5208333333334,1233.063829787234,1.6326530612244898,0,0,0,0,0,0,47,57954,49,80,-1,0,42,0,323557.0,0.0,323557.0,323557.0,16788766.0,0.0,16788766.0,16788766.0,DDoS
172.30.1.43-172.30.1.45-22-41212-6,172.30.1.45,41212,172.30.1.43,22,6,04/08/2024 05:45:16 AM,199466,16,19,18841.0,40.0,1448.0,0.0,1177.5625000000002,581.4342002038293,40.0,0.0,2.1052631578947367,9.17662935482247,94657.73615553528,175.46850089739604,5866.647058823529,18851.031269728024,93269.0,4.0,106179.0,7078.599999999999,16103.299465814896,61799.0,427.0,199466.0,11081.444444444443,28511.56672036233,110054.0,14.0,0,0,0,0,512,528,80.21417183880962,95.25432905858642,0.0,1448.0,524.4722222222224,704.2012896531833,495899.4563492065,0,1,0,0,0,0,0,0,1.0,539.4571428571429,1177.5625,2.1052631578947367,0,0,0,0,0,0,16,18841,19,40,-1,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-33494-6,172.30.1.45,33494,172.30.1.43,22,6,04/08/2024 05:30:35 AM,217822,20,23,24633.0,40.0,1448.0,0.0,1231.6500000000003,528.4048761677874,40.0,0.0,1.7391304347826086,8.34057656228299,113271.38672861327,197.40889350019745,5186.238095238096,17753.37776560476,106252.0,2.0,175004.0,9210.736842105263,24435.58106269104,106264.0,651.0,217822.0,9901.0,24985.71091072427,106267.0,7.0,0,0,0,0,640,608,91.81809000009184,105.5908035001056,0.0,1448.0,560.7500000000001,712.1939938554109,507220.284883721,0,1,0,0,0,0,0,0,1.0,573.7906976744187,1231.65,1.7391304347826086,0,0,0,0,0,0,20,24633,23,40,-1,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
