Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.30.1.43-172.30.1.45-22-52374-6,172.30.1.45,52374,172.30.1.43,22,6,04/08/2024 04:19:03 AM,95992,36,39,47821.0,40.0,1448.0,0.0,1328.3611111111109,402.4583139213855,40.0,0.0,1.0256410256410258,6.4051261522034855,498593.6328027336,781.3151095924661,1297.189189189189,4077.6766137663326,21317.0,0.0,91183.0,2605.228571428572,6359.344454218136,23501.0,2.0,95992.0,2526.1052631578955,5729.099560350124,21336.0,2.0,0,0,0,0,1152,988,375.0312526043837,406.2838569880824,0.0,1448.0,629.7500000000003,721.6068758911138,520716.4833333333,0,1,0,0,0,0,0,0,1.0,638.1466666666666,1328.361111111111,1.0256410256410255,0,0,0,0,0,0,36,47821,39,40,-1,0,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-33928-6,172.30.1.45,33928,172.30.1.43,22,6,04/08/2024 04:23:42 AM,111687,16,19,18861.0,40.0,1448.0,0.0,1178.8124999999998,578.7882996686554,40.0,0.0,2.1052631578947367,9.176629354822472,169231.87121151073,313.3757733666407,3284.911764705882,10028.694734754254,49510.0,0.0,96988.0,6465.866666666668,18506.905397973045,67705.0,2.0,111687.0,6204.833333333334,15037.89478089192,49514.0,2.0,0,0,0,0,512,564,143.25749639617862,170.1182769704621,0.0,1448.0,525.0277777777778,703.7972713831372,495330.5992063492,0,1,0,0,0,0,0,0,1.0,540.0285714285715,1178.8125,2.1052631578947367,0,0,0,0,0,0,16,18861,19,40,-1,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-49302-6,172.30.1.45,49302,172.30.1.43,22,6,04/08/2024 04:18:59 AM,54118,18,21,21757.0,40.0,1448.0,0.0,1208.722222222222,550.6017890139474,40.0,0.0,1.9047619047619049,8.728715609439696,402768.02542592114,720.6474740382127,1424.1578947368416,3815.617427464896,17056.0,1.0,42607.0,2506.294117647059,5883.186198446232,18952.0,6.0,54118.0,2705.9,5054.179582546665,17083.0,6.0,0,0,0,0,576,604,332.6065264791752,388.0409475590377,0.0,1448.0,544.9250000000002,708.4797515337566,501943.5583333334,0,1,0,0,0,0,0,0,1.0,558.8974358974359,1208.7222222222222,1.9047619047619049,0,0,0,0,0,0,18,21757,21,40,-1,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-51092-6,172.30.1.45,51092,172.30.1.43,22,6,04/08/2024 04:31:58 AM,230991,32,32,42029.0,40.0,1448.0,0.0,1313.4062500000002,425.1995250334949,40.0,0.0,1.25,7.071067811865476,182123.97885631907,277.0670718772593,3666.5238095238096,11019.937131512525,60151.0,0.0,170833.0,5510.741935483869,12493.279697415304,50729.0,2.0,230991.0,7451.32258064516,17058.071153928075,77360.0,2.0,0,0,0,0,1024,788,138.53353593862963,138.53353593862963,0.0,1448.0,647.2153846153846,724.3497189787646,524682.5153846152,0,1,0,0,0,0,0,0,1.0,657.328125,1313.40625,1.25,0,0,0,0,0,0,32,42029,32,40,-1,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-38268-6,172.30.1.45,38268,172.30.1.43,22,6,04/08/2024 04:14:32 AM,95176,26,26,33341.0,40.0,1448.0,0.0,1282.3461538461536,467.7973016003999,40.0,0.0,1.5384615384615383,7.844645405527363,350729.1754223754,546.3562242582163,1866.1960784313728,5275.758432754889,25618.0,1.0,72763.0,2910.519999999999,6857.642726185143,25627.0,3.0,95176.0,3807.04,7214.46111685874,25625.0,3.0,0,0,0,0,832,656,273.1781121291082,273.1781121291082,0.0,1448.0,629.8301886792452,723.2777883158844,523130.7590711174,0,1,0,0,0,0,0,0,1.0,641.9423076923077,1282.3461538461538,1.5384615384615383,0,0,0,0,0,0,26,33341,26,40,-1,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-48536-6,172.30.1.45,48536,172.30.1.43,22,6,04/08/2024 04:32:01 AM,167875,32,35,42029.0,40.0,1448.0,0.0,1313.4062499999998,425.1995250334949,40.0,0.0,1.1428571428571428,6.7612340378281335,250597.1705137752,399.10647803425167,2543.5606060606065,10458.788812254856,69024.0,0.0,118839.0,3833.5161290322585,14109.84668206561,78106.0,2.0,167875.0,4937.499999999998,14816.789443367648,69026.0,2.0,0,0,0,0,1024,884,190.6180193596426,208.4884586746091,0.0,1448.0,618.6617647058825,720.4984097943883,519117.95851624233,0,1,0,0,0,0,0,0,1.0,627.8955223880597,1313.40625,1.1428571428571428,0,0,0,0,0,0,32,42029,35,40,-1,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-51102-6,172.30.1.45,51102,172.30.1.43,22,6,04/08/2024 04:31:58 AM,200951,32,35,42029.0,40.0,1448.0,0.0,1313.4062499999998,425.1995250334949,40.0,0.0,1.1428571428571428,6.7612340378281335,209349.54292339925,333.4146135127469,3044.71212121212,9838.00357290371,64801.0,0.0,136143.0,4391.709677419355,10444.053163382974,47449.0,3.0,200951.0,5910.323529411765,15470.128742722192,81616.0,3.0,0,0,0,0,1024,884,159.24280048370002,174.1718130290469,0.0,1448.0,618.6617647058825,720.4984097943883,519117.95851624233,0,1,0,0,0,0,0,0,1.0,627.8955223880597,1313.40625,1.1428571428571428,0,0,0,0,0,0,32,42029,35,40,-1,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-54640-6,172.30.1.45,54640,172.30.1.43,22,6,04/08/2024 04:16:44 AM,132184,36,34,47821.0,40.0,1448.0,0.0,1328.3611111111109,402.4583139213855,40.0,0.0,1.1764705882352942,6.859943405700354,362078.6176844399,529.564848998366,1915.7101449275365,6258.922048473375,37113.0,0.0,103107.0,2945.9142857142865,7246.370269360535,37120.0,2.0,132184.0,4005.5757575757575,10190.239374121393,44760.0,2.0,0,0,0,0,1152,984,272.34763662773105,257.21721237063485,0.0,1448.0,674.0985915492957,726.3526132067492,527588.1187122734,0,1,0,0,0,0,0,0,0.0,683.7285714285714,1328.361111111111,1.1764705882352942,0,0,0,0,0,0,36,47821,34,40,-1,0,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-49818-6,172.30.1.45,49818,172.30.1.43,22,6,04/08/2024 04:32:03 AM,180594,25,28,31893.0,40.0,1448.0,0.0,1275.72,476.19669605461706,40.0,0.0,1.4285714285714284,7.559289460184545,176822.04281426847,293.4759737311317,3472.9615384615367,9317.450755798338,46853.0,0.0,166776.0,6949.0,13908.258109920664,46855.0,2.0,180594.0,6688.666666666666,12906.813078609057,46860.0,2.0,0,0,0,0,800,708,138.43206308072251,155.0439106504092,0.0,1448.0,591.351851851852,717.001333053349,514090.9116002795,0,1,0,0,0,0,0,0,1.0,602.5094339622641,1275.72,1.4285714285714286,0,0,0,0,0,0,25,31893,28,40,-1,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
172.30.1.43-172.30.1.45-22-42192-6,172.30.1.45,42192,172.30.1.43,22,6,04/08/2024 04:29:16 AM,163535,32,35,42029.0,40.0,1448.0,0.0,1313.40625,425.199525033495,40.0,0.0,1.1428571428571428,6.7612340378281335,257247.68398202216,409.6982297367536,2477.80303030303,10586.054347721523,81977.0,0.0,81546.0,2630.516129032258,6848.88745647042,34195.0,2.0,163535.0,4809.852941176472,15161.623492130131,86139.0,2.0,0,0,0,0,1024,884,195.67676644143447,214.02146329531905,0.0,1448.0,618.6617647058823,720.4984097943883,519117.95851624233,0,1,0,0,0,0,0,0,1.0,627.8955223880597,1313.40625,1.1428571428571428,0,0,0,0,0,0,32,42029,35,40,-1,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
